"Household ID","Walk"
"521727503","AF1-2"
"523302158","AF1-2"
"523341204","AF1-2"
"523373116","AF1-2"
"523391686","AF1-2"
"523520729","AF1-2"
"523637024","AF1-2"
"524099080","AF1-2"
"524036857","AF1-2"
"524163875","AF1-2"
"524189920","AF1-2"
"523998631","AF1-2"
"524500734","AF1-2"
"526399439","AF1-2"
"526468283","AF1-2"
"526567017","AF1-2"
"524559376","AF1-2"
"524572440","AF1-2"
"526568001","AF1-2"
"524576547","AF1-2"
"524651187","AF1-2"
"526836521","AF1-2"
"524741490","AF1-2"
"524744132","AF1-2"
"524771194","AF1-2"
"524786642","AF1-2"
"524880430","AF1-2"
"524900538","AF1-2"
"524966446","AF1-2"
"525052482","AF1-2"
"526969824","AF1-2"
"525238965","AF1-2"
"527103839","AF1-2"
"525275615","AF1-2"
"525389754","AF1-2"
"527161182","AF1-2"
"525463364","AF1-2"
"527282617","AF1-2"
"527168821","AF1-2"
"527483327","AF1-2"
"527737276","AF1-2"
"526075588","AF1-2"
"527547971","AF1-2"
"526039939","AF1-2"
"526191237","AF1-2"
"527932993","AF1-2"
"528172110","AF1-2"
"528155488","AF1-2"
"520958612","AF1-2"
"532931844","AF1-2"
"533084891","AF1-2"
"533271810","AF1-2"
"533590140","AF1-2"
"533743610","AF1-2"
"534266988","AF1-2"
"534422015","AF1-2"
"534646857","AF1-2"
"534763236","AF1-2"
"534943458","AF1-2"
"523806011","AF1-2"
"523833833","AF1-2"
"537244122","AF1-2"
"537252182","AF1-2"
"535812336","AF1-2"
"535797428","AF1-2"
"535899869","AF1-2"
"536010255","AF1-2"
"537346049","AF1-2"
"537373696","AF1-2"
"536018948","AF1-2"
"537544896","AF1-2"
"536107167","AF1-2"
"536245207","AF1-2"
"537683972","AF1-2"
"537707498","AF1-2"
"537733971","AF1-2"
"537738584","AF1-2"
"536260778","AF1-2"
"536463626","AF1-2"
"536538684","AF1-2"
"536755520","AF1-2"
"536821320","AF1-2"
"536926812","AF1-2"
"536946527","AF1-2"
"537810794","AF1-2"
"536907368","AF1-2"
"537104217","AF1-2"
"538511416","AU1-1"
"538865089","AU1-1"
"538866443","AU1-1"
"538937953","AU1-1"
"539030976","AU1-1"
"539255553","AU1-1"
"538527124","AU1-1"
"538687957","AU1-1"
"538723563","AU1-1"
"538733752","AU1-1"
"538761836","AU1-1"
"538766374","AU1-1"
"538787337","AU1-1"
"539287487","AU1-1"
"539332892","AU1-1"
